Node Number	Total Deformation (m)
1	0.
2	1.2059e-005
3	0.
4	8.6712e-006
5	1.1661e-005
6	2.5863e-005
7	6.9438e-006
8	1.5493e-005
9	1.1741e-005
10	1.8212e-004
11	1.8179e-004
12	1.8169e-004
13	2.7171e-005
14	9.8777e-005
15	1.4069e-004
16	1.522e-004
17	1.5944e-004
18	1.6965e-004
19	1.9583e-005
20	1.6989e-004
21	1.5955e-004
22	1.5211e-004
23	1.4031e-004
24	9.7082e-005
25	2.5018e-005
26	1.8478e-004
27	1.8507e-004
28	1.8459e-004
29	0.
30	8.3373e-006
31	1.2117e-005
32	1.1549e-005
33	2.3163e-005
34	1.3584e-005
35	9.7567e-005
36	1.4318e-004
37	1.5601e-004
38	1.6328e-004
39	1.7312e-004
40	1.7293e-004
41	1.6322e-004
42	1.5616e-004
43	1.4367e-004
44	9.9526e-005
45	1.8213e-004
46	1.817e-004
47	1.9547e-005
48	9.7025e-005
49	1.4011e-004
50	1.5197e-004
51	1.5948e-004
52	1.6985e-004
53	0.
54	6.9763e-006
55	1.8509e-004
56	1.8461e-004
57	1.3595e-005
58	1.7311e-004
59	1.6323e-004
60	1.5589e-004
61	1.43e-004
62	9.7418e-005
63	1.832e-004
64	1.8238e-004
65	1.948e-005
66	9.7062e-005
67	1.4033e-004
68	1.5239e-004
69	1.601e-004
70	1.7072e-004
71	0.
72	0.
73	1.172e-005
74	6.9508e-006
75	1.8612e-004
76	1.8525e-004
77	1.1815e-005
78	8.7786e-006
79	2.5973e-005
80	1.5392e-005
81	1.181e-005
82	1.3563e-005
83	1.7394e-004
84	1.6382e-004
85	1.5629e-004
86	1.4327e-004
87	9.7696e-005
88	1.8486e-004
89	1.8384e-004
90	2.6927e-005
91	9.862e-005
92	1.4087e-004
93	1.5307e-004
94	1.6106e-004
95	1.7199e-004
96	2.5161e-005
97	1.877e-004
98	1.8665e-004
99	0.
100	8.4612e-006
101	1.2161e-005
102	1.1568e-005
103	2.3064e-005
104	1.7514e-004
105	1.6474e-004
106	1.5695e-004
107	1.4381e-004
108	9.9361e-005
109	1.8607e-004
110	1.854e-004
