Node Number	Equivalent (von-Mises) Stress (Pa)
1	2.7522e+009
2	2.2875e+009
3	2.863e+009
4	1.6233e+009
5	1.8154e+009
6	3.3239e+008
7	1.7881e+009
8	1.3222e+009
9	1.5856e+009
10	3.3843e+008
11	3.3556e+008
12	2.9785e+008
13	1.9735e+009
14	5.6892e+008
15	5.8175e+008
16	4.0263e+008
17	3.3416e+008
18	3.238e+008
19	2.5826e+009
20	3.2799e+008
21	3.3919e+008
22	3.9063e+008
23	5.3184e+008
24	4.3271e+008
25	1.0092e+009
26	2.5935e+008
27	2.601e+008
28	3.1404e+008
29	3.24e+009
30	1.5396e+009
31	1.6382e+009
32	1.584e+009
33	1.2421e+009
34	1.5577e+009
35	6.2694e+008
36	3.268e+008
37	3.4226e+008
38	3.2386e+008
39	3.0488e+008
40	3.0542e+008
41	3.2626e+008
42	3.5194e+008
43	3.4947e+008
44	3.6031e+008
45	3.3607e+008
46	2.956e+008
47	2.5852e+009
48	4.6297e+008
49	5.5421e+008
50	4.0624e+008
51	3.397e+008
52	3.2419e+008
53	2.756e+009
54	1.8021e+009
55	2.5854e+008
56	3.128e+008
57	1.5721e+009
58	3.004e+008
59	3.2159e+008
60	3.4398e+008
61	3.3048e+008
62	5.7868e+008
63	3.3472e+008
64	2.9745e+008
65	2.5771e+009
66	4.9394e+008
67	5.062e+008
68	3.8884e+008
69	3.348e+008
70	3.2419e+008
71	2.7394e+009
72	2.876e+009
73	1.8178e+009
74	1.7935e+009
75	2.5949e+008
76	3.1036e+008
77	2.2921e+009
78	1.6301e+009
79	3.2632e+008
80	1.3314e+009
81	1.588e+009
82	1.5843e+009
83	3.0746e+008
84	3.2327e+008
85	3.4361e+008
86	3.2065e+008
87	5.9192e+008
88	3.2461e+008
89	2.9214e+008
90	1.9863e+009
91	5.5482e+008
92	5.9344e+008
93	4.0601e+008
94	3.3015e+008
95	3.145e+008
96	1.0006e+009
97	2.6998e+008
98	3.1744e+008
99	3.2692e+009
100	1.5276e+009
101	1.6727e+009
102	1.5757e+009
103	1.2441e+009
104	3.1071e+008
105	3.3407e+008
106	3.6198e+008
107	3.6267e+008
108	3.4377e+008
109	3.1969e+008
110	2.8197e+008
111	2.5633e+009
112	4.908e+008
113	5.065e+008
114	3.82e+008
115	3.2515e+008
116	3.1176e+008
117	2.6943e+009
118	1.7712e+009
119	2.7e+008
120	3.2377e+008
121	1.4263e+009
122	1.5576e+009
123	3.1344e+008
124	3.287e+008
125	3.4602e+008
126	3.2696e+008
127	5.5865e+008
128	3.1692e+008
129	2.8151e+008
130	2.5781e+009
131	4.1085e+008
132	5.3308e+008
133	3.9484e+008
134	3.284e+008
135	3.1093e+008
136	3.0376e+009
137	3.0478e+009
138	1.7821e+009
139	2.6979e+008
140	3.1861e+008
141	1.7853e+009
142	1.6827e+009
143	3.0881e+008
144	3.2291e+008
145	3.304e+008
146	3.1241e+008
147	6.3728e+008
148	3.1838e+008
149	2.8016e+008
150	2.5616e+009
151	4.3628e+008
152	5.4818e+008
153	3.9854e+008
154	3.292e+008
155	3.1213e+008
156	2.6911e+009
157	2.8902e+009
158	1.7584e+009
159	2.7223e+008
160	3.1878e+008
161	2.2918e+009
162	1.6065e+009
163	3.2834e+008
164	1.3302e+009
165	1.5729e+009
166	1.549e+009
167	3.1353e+008
168	3.3105e+008
169	3.5029e+008
170	3.3918e+008
171	5.4178e+008
172	3.2352e+008
173	2.8112e+008
174	1.9871e+009
175	5.5241e+008
176	5.5978e+008
177	3.9524e+008
178	3.2734e+008
179	3.1387e+008
180	1.0026e+009
181	2.7152e+008
182	3.2506e+008
183	3.2544e+009
184	1.5512e+009
185	1.6451e+009
186	1.5885e+009
187	1.249e+009
188	3.1489e+008
189	3.3474e+008
190	3.6123e+008
191	3.442e+008
192	3.3194e+008
193	3.3306e+008
194	2.8838e+008
195	2.5792e+009
196	4.5692e+008
197	5.6093e+008
198	4.0648e+008
199	3.3761e+008
200	3.2254e+008
201	2.743e+009
202	1.8115e+009
203	2.608e+008
204	3.2025e+008
205	1.5777e+009
206	3.0314e+008
207	3.2449e+008
208	3.4381e+008
209	3.3458e+008
210	6.1317e+008
211	3.3818e+008
212	3.0196e+008
213	2.5867e+009
214	4.5951e+008
215	5.2915e+008
216	3.963e+008
217	3.3647e+008
218	3.2647e+008
219	2.7564e+009
220	2.8627e+009
221	1.8111e+009
222	1.7862e+009
223	2.5734e+008
224	3.0742e+008
225	2.2885e+009
226	1.6216e+009
227	3.3249e+008
228	1.3247e+009
229	1.5852e+009
230	1.5733e+009
231	3.0215e+008
232	3.1949e+008
233	3.3691e+008
234	3.2275e+008
235	6.2006e+008
236	3.3595e+008
237	2.9702e+008
238	1.9734e+009
239	5.823e+008
240	5.5889e+008
241	3.966e+008
242	3.3499e+008
243	3.2424e+008
244	1.0077e+009
245	2.5799e+008
246	3.1232e+008
247	3.2432e+009
248	1.5428e+009
249	1.6395e+009
250	1.5859e+009
251	1.2422e+009
252	3.0434e+008
253	3.2562e+008
254	3.5027e+008
255	3.3518e+008
256	3.6374e+008
257	3.3735e+008
258	2.9612e+008
259	2.5966e+009
260	4.638e+008
261	5.4469e+008
262	4.0222e+008
263	3.4076e+008
264	3.2682e+008
265	2.7607e+009
266	1.8046e+009
267	2.5747e+008
268	3.1181e+008
269	1.5702e+009
270	3.0094e+008
271	3.2171e+008
272	3.4022e+008
273	3.3706e+008
274	6.1664e+008
275	3.3364e+008
276	3.0156e+008
277	2.5841e+009
278	4.3216e+008
279	5.3977e+008
280	3.9789e+008
281	3.3469e+008
282	3.2252e+008
283	2.7432e+009
284	2.8756e+009
285	1.8175e+009
286	1.7977e+009
287	2.6143e+008
288	3.0838e+008
289	2.2894e+009
290	1.6301e+009
291	3.2691e+008
292	1.3304e+009
293	1.5873e+009
294	1.5696e+009
295	3.0658e+008
296	3.2081e+008
297	3.4062e+008
298	3.2573e+008
299	6.1943e+008
300	3.2235e+008
301	2.8916e+008
302	1.9829e+009
303	5.6033e+008
304	5.466e+008
305	3.9014e+008
306	3.2665e+008
307	3.1244e+008
308	1.0022e+009
309	2.7186e+008
310	3.2058e+008
311	3.2678e+009
312	1.5277e+009
313	1.6726e+009
314	1.5754e+009
315	1.2476e+009
316	3.1346e+008
317	3.3527e+008
318	3.6099e+008
319	3.3955e+008
320	3.3881e+008
321	3.1805e+008
322	2.7947e+008
323	2.5612e+009
324	4.7847e+008
325	5.4835e+008
326	3.9466e+008
327	3.2599e+008
328	3.0957e+008
