Node Number	Temperature (°C)
1	626.89
2	626.88
3	626.85
4	626.85
5	626.85
6	626.85
7	626.85
8	627.
9	627.
10	627.
11	627.
12	626.85
13	626.73
14	626.73
15	626.85
16	626.85
17	626.79
18	626.79
19	627.
20	627.
21	626.89
22	626.85
23	626.73
24	626.79
25	627.
26	627.
27	626.89
28	626.85
29	626.85
30	626.85
31	626.73
32	626.88
33	626.85
34	626.85
35	626.79
36	627.
37	627.
38	626.85
39	626.73
40	626.85
41	626.85
42	626.79
43	627.
44	627.
45	626.89
46	626.85
47	626.73
48	626.85
49	626.79
50	627.
51	627.
52	626.89
53	626.85
54	626.85
55	626.73
56	626.85
57	626.79
58	627.
59	627.
60	626.89
61	626.85
62	626.85
63	626.73
64	626.88
65	626.85
66	626.85
67	626.79
68	627.
69	627.
70	626.85
71	626.73
72	626.85
73	626.85
74	626.79
75	627.
76	627.
77	626.89
78	626.85
79	626.73
80	626.79
81	627.
82	627.
83	626.89
84	626.85
85	626.85
86	626.85
87	626.73
88	626.88
89	626.85
90	626.85
91	626.79
92	627.
93	627.
94	626.85
95	626.73
96	626.85
97	626.85
98	626.79
99	627.
100	627.
101	626.89
102	626.85
103	626.73
104	626.79
105	627.
106	627.
107	626.89
108	626.85
109	626.85
110	626.85
111	626.73
112	626.88
113	626.85
114	626.85
115	626.79
116	627.
117	627.
118	626.85
119	626.73
120	626.85
121	626.85
122	626.79
123	627.
124	627.
125	626.89
126	626.85
127	626.73
128	626.85
129	626.79
130	627.
131	627.
132	626.89
133	626.85
134	626.85
135	626.73
136	626.85
137	626.79
138	627.
139	627.
140	626.89
141	626.85
142	626.85
143	626.73
144	626.88
145	626.85
146	626.85
147	626.79
148	627.
149	627.
150	626.85
151	626.73
152	626.85
153	626.85
154	626.79
155	627.
156	627.
157	626.89
158	626.85
159	626.73
160	626.79
161	627.
162	627.
163	626.89
164	626.85
165	626.85
166	626.85
167	626.73
168	626.88
169	626.85
170	626.85
171	626.79
172	627.
173	627.
174	626.85
175	626.73
176	626.85
177	626.85
178	626.79
179	627.
180	627.
181	626.89
182	626.85
183	626.73
184	626.79
185	627.
186	627.
187	626.89
188	626.85
189	626.85
190	626.85
191	626.73
192	626.88
193	626.85
194	626.85
195	626.79
196	627.
197	627.
198	626.85
199	626.73
200	627.
201	627.
202	626.85
203	626.85
204	626.79
205	626.89
206	626.85
207	626.73
208	627.
209	627.
210	626.89
211	626.85
212	626.79
213	626.85
214	626.85
215	626.73
216	627.
217	627.
218	626.89
219	626.85
220	626.85
221	626.79
222	626.88
223	626.85
224	627.
225	627.
226	626.73
227	626.85
228	626.85
229	626.85
230	626.79
231	626.89
232	627.
233	626.85
234	626.85
235	627.
236	626.73
237	626.79
238	626.89
239	627.
240	626.85
241	626.85
242	627.
243	626.73
244	626.89
245	627.
246	627.
247	626.73
248	626.89
249	626.85
250	626.79
251	627.
252	627.
253	626.79
254	627.
255	626.85
256	626.85
257	626.85
258	627.
259	626.73
260	626.85
261	626.88
262	626.73
263	626.86
264	626.86
265	626.85
266	626.79
267	627.
268	627.
269	626.85
270	626.73
271	626.79
272	626.85
273	626.89
274	627.
275	627.
276	626.73
277	626.85
278	626.89
279	626.87
280	626.87
281	626.9
282	626.87
283	626.86
284	626.79
285	627.
286	627.
287	626.73
288	626.85
289	626.89
290	626.85
291	626.79
292	626.85
293	627.
294	626.88
295	626.87
296	627.
297	626.73
298	627.
299	627.
300	626.79
301	627.
302	627.
303	626.87
304	626.78
305	626.73
306	626.88
307	626.85
308	626.85
309	626.85
310	626.73
311	626.73
312	626.78
313	626.85
314	626.87
315	626.82
316	626.86
317	626.85
318	626.8
319	626.86
320	626.86
321	626.85
322	626.85
323	626.85
324	626.85
325	626.85
326	626.85
327	626.85
328	626.85
329	626.83
330	627.
331	627.
332	627.
333	627.
334	627.
335	627.
336	627.
337	627.
338	626.85
339	626.85
340	626.85
341	626.74
342	626.85
343	626.85
344	626.85
345	626.85
346	626.85
347	626.85
348	626.78
349	626.74
350	626.74
351	626.73
352	626.73
353	626.73
354	626.73
355	627.
356	627.
357	627.
358	627.
359	627.
360	626.85
361	626.85
362	626.83
363	626.85
364	626.74
365	626.78
366	626.73
367	626.73
368	626.73
369	627.
370	627.
371	627.
372	627.
373	627.
374	626.85
375	626.85
376	626.85
377	626.85
378	626.85
379	626.84
380	626.74
381	626.85
382	626.85
383	626.85
384	626.85
385	626.85
386	626.85
387	626.83
388	626.78
389	626.73
390	626.73
391	626.73
392	627.
393	627.
394	627.
395	627.
396	627.
397	626.85
398	626.85
399	626.85
400	626.74
401	626.85
402	626.85
403	626.85
404	626.85
405	626.85
406	626.85
407	626.78
408	626.73
409	626.73
410	626.73
411	627.
412	627.
413	627.
414	627.
415	627.
416	626.85
417	626.85
418	626.83
419	626.85
420	626.74
421	626.85
422	626.85
423	626.78
424	626.73
425	626.73
426	626.73
427	627.
428	627.
429	627.
430	627.
431	627.
432	626.85
433	626.85
434	626.85
435	626.85
436	626.84
437	626.74
438	626.85
439	626.85
440	626.78
441	626.73
442	626.73
443	626.73
444	627.
445	627.
446	627.
447	627.
448	627.
449	626.85
450	626.85
451	626.85
452	626.85
453	626.84
454	626.74
455	626.85
456	626.85
457	626.85
458	626.85
459	626.85
460	626.85
461	626.83
462	626.78
463	626.73
464	626.73
465	626.73
466	627.
467	627.
468	627.
469	627.
470	627.
471	626.85
472	626.85
473	626.85
474	626.74
475	626.85
476	626.85
477	626.85
478	626.85
479	626.85
480	626.85
481	626.78
482	626.73
483	626.73
484	626.73
485	627.
486	627.
487	627.
488	627.
489	627.
490	626.85
491	626.85
492	626.83
493	626.85
494	626.74
495	626.78
496	626.73
497	626.73
498	626.73
499	627.
500	627.
501	627.
502	627.
503	627.
504	626.85
505	626.85
506	626.85
507	626.85
508	626.85
509	626.84
510	626.74
511	626.85
512	626.85
513	626.85
514	626.85
515	626.85
516	626.85
517	626.83
518	626.78
519	626.73
520	626.73
521	626.73
522	627.
523	627.
524	627.
525	627.
526	627.
527	626.85
528	626.85
529	626.85
530	626.74
531	626.85
532	626.85
533	626.85
534	626.85
535	626.85
536	626.85
537	626.78
538	626.73
539	626.73
540	626.73
541	627.
542	627.
543	627.
544	627.
545	627.
546	626.85
547	626.85
548	626.83
549	626.85
550	626.74
551	626.78
552	626.73
553	626.73
554	626.73
555	627.
556	627.
557	627.
558	627.
