Node Number	Temperature (°C)
1	474.96
2	474.51
3	474.51
4	474.52
5	474.53
6	474.49
7	474.51
8	474.51
9	474.5
10	474.53
11	474.49
12	474.51
13	474.51
14	474.51
15	474.48
16	474.47
17	474.49
18	474.48
19	474.47
20	474.46
21	474.47
22	474.48
23	474.48
24	474.49
25	474.47
26	474.48
27	474.48
28	474.51
29	474.53
30	474.53
31	474.53
32	474.52
33	474.52
34	474.52
35	475.
36	474.57
37	474.58
38	474.59
39	474.49
40	474.49
41	474.47
42	474.49
43	475.
44	474.47
45	474.48
46	474.49
47	474.46
48	474.47
49	474.48
50	474.48
51	474.49
52	474.48
53	474.51
54	474.51
55	474.5
56	474.5
57	474.49
58	474.47
59	474.49
60	474.46
61	474.48
62	474.47
63	474.47
64	474.49
65	474.46
66	474.48
67	474.49
68	474.51
69	474.51
70	474.5
71	474.49
72	475.
73	474.96
74	475.
75	475.
76	474.96
77	475.
78	474.51
79	474.51
80	474.53
81	474.49
82	474.5
83	474.52
84	474.51
85	474.5
86	474.52
87	474.52
88	474.51
89	474.52
90	474.52
91	474.51
92	474.53
93	474.53
94	474.52
95	474.51
96	475.
97	475.
98	475.
99	475.
100	474.5
101	474.51
102	474.52
103	474.53
104	474.5
105	475.
106	475.
107	475.
108	474.77
109	474.77
110	474.76
111	474.52
112	474.55
113	474.54
114	474.73
115	474.73
116	474.74
117	474.51
118	474.52
119	475.
120	475.
121	475.
122	475.
123	475.
124	475.
125	475.
126	475.
127	475.
128	474.77
129	474.77
130	474.53
131	474.53
132	474.54
133	474.73
134	474.72
135	474.76
136	474.51
137	474.52
138	474.78
139	474.52
140	474.8
141	475.
142	475.
143	475.
144	475.
145	474.96
146	474.51
147	474.51
148	474.52
149	474.53
150	474.49
151	474.51
152	474.51
153	474.51
154	474.53
155	474.49
156	474.51
157	474.51
158	474.51
159	474.51
160	474.52
161	474.5
162	474.52
163	474.51
164	474.51
165	474.52
166	474.51
167	474.51
168	474.53
169	474.53
170	474.53
171	474.52
172	474.52
173	474.52
174	475.
175	475.
176	474.52
177	474.97
178	474.5
179	474.59
180	474.58
181	474.57
182	474.57
183	474.51
184	474.5
185	474.51
186	474.53
187	474.56
188	474.51
189	474.51
190	474.52
191	474.51
192	474.52
193	474.5
194	474.52
195	474.5
196	474.51
197	474.53
198	474.51
199	474.51
200	474.53
201	474.53
202	474.53
203	474.52
204	474.52
205	474.52
206	475.
207	475.
208	474.58
209	474.97
210	474.51
211	474.58
212	474.58
213	474.53
214	474.58
215	474.51
216	474.51
217	474.51
218	474.53
219	474.56
220	474.51
221	474.51
222	474.52
223	474.51
224	474.5
225	474.5
226	474.53
227	474.51
228	474.51
229	474.53
230	474.52
231	474.51
232	474.53
233	474.53
234	474.53
235	475.
236	474.53
237	474.53
238	474.53
239	474.59
240	475.
241	474.96
242	474.51
243	474.53
244	474.54
245	474.56
246	474.49
247	474.51
248	474.5
249	474.51
250	474.53
251	474.49
252	474.5
253	474.52
254	474.51
255	474.51
256	474.52
257	474.52
258	474.52
259	474.5
260	474.51
261	474.52
262	474.51
263	474.5
264	474.53
265	474.53
266	474.53
267	474.52
268	474.52
269	474.52
270	475.
271	474.52
272	474.96
273	474.51
274	474.51
275	474.52
276	474.53
277	474.49
278	474.51
279	474.51
280	474.5
281	474.53
282	474.49
283	474.5
284	474.51
285	474.51
286	474.51
287	474.5
